sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
WOOD-UN-01,65044,18912,4972,13940,4972,0.97,68,3,28,16029
WOOD-UN-02,139252,41571,8586,32985,8586,0.97,117,3,40,36791
WOOD-UN-03,86360,24485,6260,18225,6260,0.97,83,3,32,20869
WRONG-L-01,92400,25208,5732,19476,5732,0.97,183,3,68,21754
WRONG-L-02,122544,31763,8204,23559,8204,0.97,185,3,72,26679
WRONG-L-03,72482,19864,4852,15012,4848,0.97,170,3,63,16939
WRONG-M-01,60676,17126,3492,13634,3490,0.97,97,3,33,15057
WRONG-M-02,130792,38184,8436,29748,8436,0.97,150,3,48,33326
WRONG-M-03,51694,15036,3170,11866,3166,0.97,111,3,31,13161
WRONG-S-01,62918,18811,5532,13279,5532,0.97,98,3,58,15659
WRONG-S-02,145692,46934,11620,35314,11620,0.97,155,3,79,40475
WRONG-S-03,67902,19890,6188,13702,6186,0.97,136,3,65,16312
WRONG-SO-01,71122,21510,4764,16746,4764,0.97,122,3,56,18802
WRONG-SO-02,138920,42732,10078,32654,10076,0.97,168,3,89,37136
WRONG-SO-03,48752,12370,3204,9166,3204,0.97,118,3,56,10369
WRONG-UN-01,82082,22346,5996,16350,5996,0.97,170,3,73,18813
WRONG-UN-02,151620,44985,10504,34481,10504,0.97,257,3,116,38983
WRONG-UN-03,77752,21888,6136,15752,6134,0.97,185,3,74,18263
